Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Activity,Observation Status,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),112,Belarus,ISIC4_C,A,G,KG_PER_CON_USD,0.68,0.655,0.599,0.613,0.554,0.498,0.436,0.43,0.397,0.369,0.357,0.341,0.354,0.38,0.391,0.348,0.357,0.344,0.334,0.338,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),56,Belgium,ISIC4_C,A,G,KG_PER_CON_USD,0.546,0.572,0.454,0.466,0.404,0.346,0.368,0.333,0.337,0.329,0.339,0.312,0.312,0.336,0.324,0.312,0.329,0.311,0.32,0.293,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),204,Benin,ISIC4_C,A,G,KG_PER_CON_USD,0.11,0.135,0.133,0.123,0.129,0.115,0.111,0.116,0.119,0.148,0.145,0.167,0.159,0.191,0.295,0.304,0.328,0.272,0.095,0.338,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),68,Bolivia (Plurinational State of),ISIC4_C,A,G,KG_PER_CON_USD,0.488,0.451,0.488,0.489,0.494,0.506,0.494,0.485,0.484,0.521,0.518,0.559,0.575,0.599,0.622,0.597,0.568,0.567,0.543,0.515,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),70,Bosnia and Herzegovina,ISIC4_C,A,G,KG_PER_CON_USD,1.705,1.42,1.464,0.371,0.737,0.89,0.826,0.798,0.79,0.893,0.979,1.088,1.11,1.238,1.076,1.057,0.953,0.923,1.014,0.965,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),72,Botswana,ISIC4_C,A,G,KG_PER_CON_USD,0.161,0.504,0.51,0.39,0.213,0.108,0.094,0.931,0.244,0.205,0.101,0.087,0.088,0.091,0.094,0.083,0.078,0.079,0.078,0.078,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),76,Brazil,ISIC4_C,A,G,KG_PER_CON_USD,0.476,0.461,0.466,0.451,0.426,0.405,0.4,0.416,0.402,0.404,0.429,0.458,0.453,0.434,0.449,0.472,0.45,0.473,0.447,0.435,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),96,Brunei Darussalam,ISIC4_C,A,G,KG_PER_CON_USD,0.072,0.059,0.06,0.061,0.056,0.057,0.906,0.909,0.922,0.514,0.227,0.231,0.272,0.212,0.184,0.221,0.174,0.208,0.185,0.196,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),100,Bulgaria,ISIC4_C,A,G,KG_PER_CON_USD,2.152,1.982,1.777,1.71,1.65,1.506,1.38,1.28,0.904,0.55,0.624,0.567,0.469,0.496,0.492,0.494,0.49,0.571,0.609,0.568,,,,,,,,,,,,,,,,,,,,,
9,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),116,Cambodia,ISIC4_C,A,G,KG_PER_CON_USD,0.108,0.097,0.097,0.095,0.09,0.1,0.092,0.09,0.09,0.12,0.359,0.314,0.297,0.253,0.196,0.149,0.234,0.255,0.242,0.269,,,,,,,,,,,,,,,,,,,,,
